MessageDate,arbitrarytext,coin,difficulty,height,minedat,orphanedyn,paidoutat,poolcode,reward,size,txcount,wallet,
2018-12-02,/bmgpool.com/sdt,BSP,189815166264.41638,559119,2018-12-02 21:20:14.46901+00,f,2018-12-02 21:50:18.78329+00,BMG-BSP,12.50000000,0,1,12UEsubEv9AvYzopMZQDUuiE274cN7zdEG,
2018-12-10,/bmgpool.com/1dk,BSP,205350002639.81396,560152,2018-12-10 03:39:43.29793+00,f,2018-12-10 04:28:30.42779+00,CG-BMG-BSP-MIXUP,12.50029592,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2018-12-10,/bmgpool.com/1dk,BSP,188897583813.42157,560224,2018-12-10 16:00:30.85661+00,f,2018-12-10 16:38:03.57509+00,CG-BMG-BSP-MIXUP,12.50365011,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2019-01-16,0ghas8edxx9w,BTC,5883988430955.408,558725,2019-01-16 03:57:20.64933+00,f,,CG-BTC,12.55809247,1110297,1138,18bXSCSXiTD3DB3XEz851VpB4ZK49rkprT,
2018-11-25,/coingeek.com/hp,BSP,367689579204.577,557961,2018-11-24 08:20:15.6685+00,f,2018-11-24 09:01:33.08807+00,CG-BSP,12.50088286,0,1,1HyVj7fZiHcwvGkyVuBdHCZHVQdvVtwZvj,
2019-01-02,ISBNB5OPSC,BSP,124644082017.75505,563493,2019-01-02 17:52:16.73624+00,f,,ANON-BSP,12.50055433,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-12-04,/coingeek.com/g1f,BSP,194919021966.1111,559368,2018-12-04 16:22:37.90772+00,f,2018-12-04 17:06:02.44687+00,CG-BSP,12.50035036,0,1,1QDYkB3uDAcebj3jfLZMQE6rAeV9xApKsV,
2018-12-06,/coingeek.com/hp,BSP,220773494023.26157,559647,2018-12-06 12:40:44.31076+00,f,2018-12-06 12:55:28.01948+00,CG-BSP,12.50022378,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2019-01-13,/coingeek.com/hp,BSP,143302185288.23947,564492,2019-01-09 14:52:37.11829+00,f,,CG-BSP,12.50000488,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-24,/coingeek.com/g1f,BSP,369051127418.97565,557981,2018-11-24 10:46:29.2298+00,f,2018-11-24 11:45:46.68503+00,CG-BSP,12.50003872,0,1,1QDYkB3uDAcebj3jfLZMQE6rAeV9xApKsV,
2018-11-22,/bmgpool.com/tha,BSP,563311036354.3275,557709,2018-11-22 08:27:29.10787+00,f,2018-11-22 09:31:51.83806+00,BMG-BSP,12.50032127,2730,1,1Fe6KNQdTRLcebYPm8fH1G59sk6CrgbXF6,
2018-12-13,/coingeek.com/hp,BSP,185917699230.853,560608,2018-12-13 08:09:39.12465+00,f,2018-12-13 09:33:01.2005+00,CG-BSP,12.50019342,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2019-01-13,/bmgpool.com/1dk,BSP,142424405303.3241,564487,2019-01-09 14:07:45.3816+00,f,,CG-BMG-BSP-MIXUP,12.50005321,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2018-12-30,ISBNB5OPSC,BSP,142780843780.13168,562368,2018-12-25 19:04:51.92913+00,f,,ANON-BSP,12.50275774,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-11-25,/coingeek.com/hp,BSV,298078053944.16315,557417,2018-11-20 14:27:49.98643+00,f,2018-11-21 15:55:06.24118+00,CG-BSV,12.50399282,140425,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-24,/coingeek.com/g1f,BSP,364173668277.04095,557956,2018-11-24 07:28:34.18728+00,f,2018-11-24 08:20:24.34861+00,CG-BSP,12.50057818,0,1,1BnGdGkB6nWdUnBtCXasxx9wozMcfNvFZX,
2018-12-20,/bmgpool.com/1dk,BSP,134372588833.25531,561613,2018-12-20 14:50:38.48619+00,f,,CG-BMG-BSP-MIXUP,12.50154420,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2018-11-29,/bmgpool.com/tha,BSP,122804451794.9481,558546,2018-11-29 01:47:10.34682+00,f,2018-11-29 02:06:51.32345+00,BMG-BSP,12.50001226,0,1,1EfamYmWP12gzkD18xRnDnPR9Q1ZvTYBHo,
2018-12-17,/coingeek.com/hp,BSP,142563889825.7537,561219,2018-12-17 18:26:20.5515+00,f,2018-12-17 19:13:35.79919+00,CG-BSP,12.50019456,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-26,/coingeek.com/g1f,BSP,410211346694.411,558087,2018-11-25 04:12:39.79328+00,f,2018-11-25 05:06:14.64803+00,CG-BSP,12.50252073,0,1,1BnGdGkB6nWdUnBtCXasxx9wozMcfNvFZX,
2019-01-02,/coingeek.com/hp,BSP,133202874420.32886,563526,2019-01-02 22:32:56.61328+00,f,,CG-BSP,12.50016880,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/bmgpool.com/sdt,BSP,418933107711.0474,557908,2018-11-23 23:09:57.54993+00,f,2018-11-24 00:03:03.89113+00,BMG-BSP,12.50133454,0,1,12UEsubEv9AvYzopMZQDUuiE274cN7zdEG,
2018-11-25,/coingeek.com/hp,BSP,364841162962.72,557970,2018-11-24 09:37:41.90586+00,f,2018-11-24 10:09:26.14045+00,CG-BSP,12.50028387,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-21,/coingeek.com/hp,BSP,559340608320.6558,557632,2018-11-21 20:06:17.38752+00,f,2018-11-21 20:32:20.19692+00,CG-BSP,12.50030501,3734,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-22,/coingeek.com/hp,BSP,562497517789.0896,557743,2018-11-22 15:09:32.79796+00,f,2018-11-22 16:43:50.25525+00,CG-BSP,12.50264188,0,1,1HyVj7fZiHcwvGkyVuBdHCZHVQdvVtwZvj,
2018-12-02,/coingeek.com/hp,BSP,199817239931.83853,558960,2018-12-01 18:30:55.38006+00,f,2018-12-01 19:41:16.87597+00,CG-BSP,12.50017597,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/coingeek.com/hp,BSP,582067745822.0928,557673,2018-11-22 01:43:12.66734+00,f,2018-11-22 02:29:09.92406+00,CG-BSP,12.50051447,4303,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-12-17,ISBNB5OPSC,BSP,142047616705.69946,561167,2018-12-17 09:40:37.85396+00,f,2018-12-17 10:51:28.94027+00,ANON-BSP,12.50000000,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2019-01-13,/coingeek.com/hp,BSP,172521397492.02155,564991,2019-01-12 23:47:13.74812+00,f,,CG-BSP,12.50061237,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/coingeek.com/hp,BSP,579083310774.5609,557671,2018-11-22 01:32:29.69568+00,f,2018-11-22 02:19:28.44854+00,CG-BSP,12.50004079,3473,1,1HyVj7fZiHcwvGkyVuBdHCZHVQdvVtwZvj,
